2019-08-06 14:08:19,147 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'attendance-web01(192.168.100.179)', 'instance UUID': '50386c08-4fea-b29b-4e12-0acaba983ece', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] attendance-web01(192.168.100.179)/attendance-web01(192.168.100.179).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.100.179', 'hostname': 'vm-attendance-web01', 'last booted timestamp': datetime.datetime(2019, 7, 30, 11, 43, 34, 853999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:19,412 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-DataProcess-test03(192.168.202.55)', 'instance UUID': '5038bb9d-9fcc-1d7e-2735-ed5b9b7da8df', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-DataProcess-test03(192.168.202.55)/mysteel-DataProcess-test03(192.168.202.55).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.55', 'hostname': 'vm-mysteel-DataProcess-test03', 'last booted timestamp': datetime.datetime(2019, 7, 31, 3, 38, 39, 383000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:19,508 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-DataEntry-test30(192.168.202.117)', 'instance UUID': '503854a3-30a1-d49f-5de6-9ebe9e3a2c27', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-DataEntry-test30(192.168.202.117)/mysteel-DataEntry-test30(192.168.202.117).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.117', 'hostname': 'vm-mysteel-DataEntry-test30', 'last booted timestamp': datetime.datetime(2019, 7, 30, 7, 41, 53, 240999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:19,612 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-mysteel-operate-test01(192.168.205.111)', 'instance UUID': '50387a10-09e5-c9ed-dfac-c56406e58152', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-mysteel-operate-test01(192.168.205.111)/9f-mysteel-operate-test01(192.168.205.111).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.205.111', 'hostname': 'vm-9f-mysteel-operate-test01', 'last booted timestamp': datetime.datetime(2019, 7, 30, 6, 55, 24, 777999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:19,730 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-DataEntry-test27(192.168.202.114)', 'instance UUID': '50382e89-3922-accb-3dda-416f6393ec92', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-DataEntry-test27(192.168.202.114)/mysteel-DataEntry-test27(192.168.202.114).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.114', 'hostname': 'vm-mysteel-DataEntry-test27', 'last booted timestamp': datetime.datetime(2019, 7, 31, 3, 43, 58, 316000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:19,827 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-daguang05(192.168.202.175)', 'instance UUID': '5038c97d-3ac9-0fbc-e05e-207575d4a13d', 'Cpu': 8, 'memory Size': 8192, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-daguang05(192.168.202.175)/mysteel-daguang05(192.168.202.175).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.175', 'hostname': 'vm-mysteel-daguang05', 'last booted timestamp': datetime.datetime(2019, 7, 31, 3, 38, 4, 256999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:20,307 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-DataEntry-test10(192.168.202.42)', 'instance UUID': '50383d57-b604-9fec-b1ef-5066d2abba53', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-DataEntry-test10(192.168.202.42)/mysteel-DataEntry-test10(192.168.202.42).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.42', 'hostname': 'vm-mysteel-DataEntry-test10', 'last booted timestamp': datetime.datetime(2019, 8, 1, 1, 42, 44, 665999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:20,404 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-oilchem-es01(192.168.202.236)', 'instance UUID': '50386cde-c6d4-bf0a-2931-048c6ae8d635', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-oilchem-es01(192.168.202.236)/9f-oilchem-es01(192.168.202.236).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.236', 'hostname': 'vm-9f-oilchem-es01', 'last booted timestamp': datetime.datetime(2019, 8, 3, 0, 48, 20, 897183, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:20,508 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'gitlab-file_repository(192.168.100.148)', 'instance UUID': '50387c9c-77d5-9933-6ce6-4f16043aa35b', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[local160] gitlab-file_repository(192.168.100.148)/gitlab-file_repository(192.168.100.148).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.100.148', 'hostname': 'vm-file-repository02', 'last booted timestamp': datetime.datetime(2019, 8, 3, 3, 24, 12, 928000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:20,787 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-oilchem-rediscluster02(192.168.202.204)', 'instance UUID': '5038f5f0-32da-1efd-2532-525b1b09ba8d', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-oilchem-rediscluster02(192.168.202.204)/9f-oilchem-rediscluster02(192.168.202.204).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.204', 'hostname': 'vm-9f-oilchem-rediscluster02', 'last booted timestamp': datetime.datetime(2019, 8, 5, 9, 9, 20, 277999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
